,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
Acris crepitans ,0,0,0,32,0,0,8,0,0,0,0,34,0,0,0
Hyla versicolor,12,21,0,0,0,0,12,13,0,0,0,4,0,0,121
Pseudacris crucifer ,0,0,0,1,12,0,0,0,0,24,0,0,0,0,2
Physa gyrina,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Physa heterostropha,0, ,76,0,0,231,0,0,87,0,321,0,125,0,0
Helisoma trivolvis,25,0,0,54,0,0,32,54,0,0,0,0,0,34,65
Gyraulus parvus,0,39,76,0,32,34,354,21,76,12,0,34,21,0,23
Pseudosuccinea columella,3,0,0,0,45,0,0,0,0,0,0,8,0,0,0
Acilius fraternus,2,0,0,0,5,0,0,0,12,0,0,8,0,5,0
Agabus disintegrates ,0,0,13,0,0,14,0,12,0,3,4,0,6,0,5
Copelatus chevrolati,0,0,0,0,0,0,0,0,0,0,0,0,0,21,0
Coptotomus venustus,3,0,0,13,0,0,0,0,12,0,0,0,0,0,0
Hydaticus piceus,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0
Laccophilus maculosa,0,23,0,0,67,0,23,2,0,21,0,0,14,0,3
Laccophilus proximus,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Matus sp.,0,0,0,0,0,0,0,2,0,0,0,15,0,0,0
Uvarus lacustris,0,0,0,0,0,32,0,0,0,0,0,0,0,0,0
Peltodytes litoralis ,0,0,0,0,0,0,0,0,0,0,0,0,0,54,0
Berosus pantherinus,0,0,0,0,0,0,0,0,0,0,0,0,23,0,0
Enochrus cinctus,0,0,0,0,0,0,0,0,0,0,31,0,0,0,0
Hydrobiomorpha casta,0,0,0,0,0,0,0,0,54,0,0,0,0,0,0
Hydrochara soror,0,0,0,32,0,0,0,0,0,0,0,0,0,0,0
Tropisternus collaris,0,43,0,0,0,0,22,0,0,65,0,0,0,0,0
Tropisternus lateralis,76,0,98,0,123,12,0,54,0,0,0,56,0,0,76
Anopheles quadrimaculatus, ,0,0,0,0,0,0,0,76,0,0,0,3,0,15
Chironomus crassicaudatus,212,12,521,321,24,0,232,0,23,0,128,326,0,23,45
Unidentified midge 1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Callibaetis ferrugineus,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Hesperocorixia sp.,0,23,0,0,0,0,54,0,0,34,0,0,0, ,15
Buenoa sp,23,0,43,0,0,89,0,87,0,0,23,0,43,0,0
Nontonecta irrorata,0,21,0,15,0,0,23,0,0,45,0,0,0,12,3
Nontonecta undulata,0,0,0,0,0,0,0,0,98,0,0,88,21,0,53
Neoplea plea, ,0,0,0,123,0,0,0,0,0,5,0,0,0,0
Limnophilus sp.,0,0,0,0,0,0,0,0,0,0,0,0,0,132,0
Belostoma flumineum,0,28,0,0,0,12,0,0,0,1,0,0,2,0,0
Anax junius,23,0,0,12,0,0,0,15,0,0,0,3,0, ,0
Erythemis simplicicollis ,0,0,25,0,43,0,0,0,0,56,0,0,0,0,0
Libellula incesta ,0,43,0,0,0,0,0,0,0,0,0,0,0,0,12
Libellula luctuosa ,0,0,0,0,0,0,54,0,0,0,0,0,0,0,0
Libellula pullchella ,0,0,0,0,0,0,0,0,21,0,0,0,0,0,0
Pachydiplax longipennis ,0,0,0,0,0,0,0,0,0,0,121,0,0,0,0
Pantala flavescens,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Plathemis lydia ,34,0,0,0,0,0,0,0,0,0,0,56,0,23,0
Tramea lacerta,0,12,0,0,0,32,0,0,0,43,0,0,55,0,0
Enallagma aspersum,0,0,45,0,0,321,0,56,87,0,0,0,123,0,0
Ischnura verticalis , , ,0,212,0,0,123,0,0,0,56,0,0,97,0
Lestes forcipatus, ,0,0,0,0,0,0,23,0,0,0,0,0,0,0
