plotunique,lat_dd,lon_dd
H1,37.97213,-92.75974
H10,37.97941,-92.76202
H11,37.97928,-92.76155
H12,37.96129,-92.76958
H13,37.96147,-92.76854
H14,37.96172,-92.76927
H6,37.97145,-92.75597
H7,37.97148,-92.75687
L50,38.11224,-92.54773
L47,38.11339,-92.54608
L48,38.11347,-92.54661
L49,38.11303,-92.54678
L56,38.11917,-92.54812
L57,38.11933,-92.5490
L58,38.11898,-92.54991
L59,38.1186,-92.54913
L27,38.05205,-92.5863
L28,38.05276,-92.58684
L29,38.05303,-92.58715
L30,38.05347,-92.5877
L34,38.06267,-92.58775
L35,38.06311,-92.58838
L37,38.06386,-92.58806
L38,38.06178,-92.58658
H17,37.95813,-92.80068
H18,37.95741,-92.80043
H24,37.95583,-92.79493
H25,37.95506,-92.79508
H28,37.95743,-92.79519
H29,37.95808,-92.79486
H30,37.95883,-92.79496
H31,37.95875,-92.79508
L2,38.12121,-92.59079
L10,38.12215,-92.59373
L11,38.12087,-92.59229
L3,38.12115,-92.59125
L4,38.12121,-92.59193
L5,38.12093,-92.59258
L8,38.12027,-92.59465
L9,38.11853,-92.59498
L17,38.06127,-92.61025
L18,38.06185,-92.61071
L19,38.0618,-92.61199
L23,38.06209,-92.61252
L25,38.06036,-92.62769
L26,38.05944,-92.60241
L28,38.05276,-92.58684
L29,38.05303,-92.58715
